20240916150010,0.89,1000.97,37.28,54.12,16485.42,53.96
20240916151010,0.84,1001.06,37.2,54.85,17224.58,58.79
20240916152010,0.62,1001.07,37.16,56.33,18703.17,71.62
20240916153010,0.98,1001.14,36.9,57.65,12816.08,34.48
20240916154010,0.52,1001.15,36.28,59.79,13999.08,38.66
20240916155010,0.8,1001.2,36.02,60.17,13040.17,33.02
20240916160010,0.55,1001.2,35.88,61.36,13603.67,36.56
20240916161010,0.68,1001.25,35.61,60.85,11483.83,26.81
20240916162010,0.53,1001.41,35.08,62.4,6281.67,9.07
20240916163010,0.49,1001.55,34.42,64.47,3795.17,3.19
20240916164010,0.57,1001.68,34.09,66.3,3587.83,2.64
20240916165010,0.47,1001.81,33.55,71.66,2363.83,1.32
20240917090010,1.15,1005.58,46.55,30.63,33894.16,648.41
20240917091010,2.02,1005.54,46.71,30.24,44998.19,758.93
20240917092010,0.91,1005.54,48.71,27.35,58537.51,877.91
20240917093010,1,1005.42,48.84,27.27,69592.79,997.51
20240917094010,0.4,1005.32,51.11,24.75,79306.87,1118.98
20240917095010,0.49,1005.24,52.54,21.82,87099.02,1229.93
20240917100010,0.46,1005.12,53.42,20.28,94782.82,1332.81
20240917101010,0.18,1005.02,53.79,19.18,103116.36,1417.18
20240917102010,0.28,1004.92,55.43,17.28,112534.5,1476.56
20240917103010,0.27,1004.79,56.43,15.33,117325.15,1533.06
20240917104010,0.72,1004.66,55.72,13.85,117758.2,1587.35
20240917105010,0.58,1004.5,55.48,14.18,117758.2,1624.63
20240917110010,0.57,1004.31,56.05,13.86,117758.2,1657.19
20240917111010,0.7,1004.25,55.83,13.71,117758.2,1683.08
20240917112010,0.58,1004.23,55.49,13.69,117758.2,1695.4
20240917113010,0.61,1004.13,55.32,14.29,117758.2,1707
20240917114010,1.02,1004.01,55.01,14.02,117758.2,1724.13
20240917115010,1,1003.9,54.81,14.63,117758.2,1745.04
20240917120010,0.74,1003.82,55.51,14.93,117758.2,1751.12
20240917121010,0.77,1003.71,55.45,14.46,117758.2,1788.11
20240917122010,0.77,1003.63,55.52,13.78,117758.2,1771.86
20240917123010,1.12,1003.48,54.27,14.72,117758.2,1774.74
20240917124010,0.94,1003.38,52.53,17.3,114782.4,1748.59
20240917125010,0.84,1003.27,52.65,17.88,117758.2,1772.52
20240917130010,1.1,1003.09,51.93,19.23,117758.2,1774.23
20240917131010,1.01,1002.91,51.24,20.67,116964.34,1765.38
