Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240917070012,0,1011.35,26.1,100,1519.67,0.79
20240917071012,0,1011.4,26.28,100,1595.67,0.91
20240917072012,0,1011.45,26.55,100,1667.58,0.97
20240917073012,0,1011.54,26.61,100,1747.5,1.12
20240917074012,0,1011.69,26.74,100,1829.33,1.28
20240917075012,0,1011.76,26.9,100,1913.25,1.52
20240917080012,0,1011.77,27.06,100,1992.17,1.76
20240917081012,0,1011.84,27.25,100,2075.75,2.01
20240917082012,0,1011.89,27.41,100,2167.33,2.32
20240917083012,0,1011.91,27.64,100,2276.42,2.71
20240917084012,0,1012,27.76,100,2390.42,3.18
20240917085012,0,1012.04,27.97,100,2494.33,3.67
20240918070012,0,1003.79,26.47,100,2172.17,3.05
20240918071012,0,1003.85,26.59,100,2944.33,5.81
20240918072012,0,1004.18,26.88,100,2982.75,5.62
20240918073012,0,1004.16,26.95,100,2741.25,4.8
20240918074012,0,1004.04,26.98,100,3353.75,7.41
20240918075012,0,1004.35,27.37,100,3250.5,6.28
20240918080012,0,1004.4,27.49,100,2620.58,3.95
20240918081012,0,1004.43,27.45,100,2424.83,3.49
20240918082012,0,1004.34,27.05,100,2058.58,2.59
20240918083012,0,1004.62,27.18,100,1469.08,1.18
20240918084012,0,1004.84,27.35,100,1130.25,0.67
20240918085012,0,1004.9,27.17,100,1075.58,0.53
20240919070012,0,1001.79,25.89,100,890.75,0.22
20240919071012,0,1001.89,25.93,100,1302.33,0.59
20240919072012,0,1002,26.17,100,1551.92,0.89
20240919073012,0,1002.06,26.53,100,1499.92,0.83
20240919074012,0,1002.22,26.8,100,1540.42,0.92
20240919075012,0,1002.38,26.94,100,1774,1.34
20240919080012,0,1002.57,27.21,100,1948.92,1.72
20240919081012,0,1002.52,27.53,100,2026,1.97
20240919082012,0,1002.59,27.9,100,2132.83,2.35
20240919083012,0,1002.7,28.23,100,2242.58,2.77
20240919084012,0,1002.7,28.58,100,2363.83,3.21
20240919085012,0,1002.67,28.94,100,2474.83,3.78
20240920070012,0,1003.67,27.47,100,1845,1.54
20240920071012,0,1003.74,27.54,100,2004.67,1.93
20240920072012,0,1003.88,27.82,100,2171.5,2.28
20240920073012,0,1004.07,28.03,100,2321.5,2.67
20240920074012,0,1004.35,28.27,100,2487.75,3.11
20240920075012,0,1004.45,28.49,100,2503.17,3.13
20240920080012,0,1004.45,28.73,100,2426.5,3.09
20240920081012,0,1004.44,28.91,100,2470.5,3.37
20240920082012,0,1004.59,29.13,100,2635.25,4.08
20240920083012,0,1004.73,29.4,100,2858.25,4.99
20240920084012,0,1004.73,29.51,100,3080.42,6.11
20240920085012,0,1004.8,29.78,100,3282.42,7.25
20240921070012,0,1001.66,27.7,100,2989.5,6.65
20240921071012,0,1001.9,27.73,100,3910.92,10.83
20240921072012,0,1002.16,28.1,100,4487.17,13.99
20240921073012,0,1002.37,28.17,100,4738,15.5
20240921074012,0,1002.59,28.31,100,4808.33,15.93
20240921075012,0,1002.82,28.57,100,4973.25,17.14
20240921080012,0,1002.94,28.86,100,5429.92,20.89
20240921081012,0,1002.88,29.1,100,6168.17,27.67
20240921082012,0,1003.08,29.73,100,7344.58,41.38
20240921083012,0,1003.25,30.24,100,8410.08,54.18
20240921084012,0,1003.56,30.67,100,8953.08,60.2
20240921085012,0,1003.58,31.16,100,9609.83,71.05
20240922070012,0,1004.57,29.72,100,3178.58,8.24
20240922071012,0,1004.82,29.72,100,3630.33,10.08
20240922072012,0,1004.89,29.89,100,4139.75,13.24
20240922073012,0,1004.98,30.1,100,4974.83,19.74
20240922074012,0,1005.07,30.47,100,5909.25,27.65
20240922075012,0,1005.1,30.96,100,6750.25,36.37
20240922080012,0,1005.22,31.45,100,7492.83,44.97
