Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240917070009,0,1004.02,28.89,98.9,5650.92,9.86
20240917071009,0,1004.03,29.01,94.73,5691.33,9.76
20240917072009,0,1004.08,29.16,92.32,5964,10.53
20240917073009,0,1004.16,29.38,92.36,6219.17,11.33
20240917074009,0,1004.27,29.64,91.87,6450.42,11.88
20240917075009,0,1004.34,29.91,89.95,6659.92,12.5
20240917080009,0,1004.33,30.09,88.94,6858.42,13.08
20240917081009,0,1004.37,30.31,87,7152.08,13.95
20240917082009,0,1004.36,30.48,85.41,7501.17,14.93
20240917083009,0,1004.34,30.83,82.94,41141.39,258.63
20240917084009,0,1004.42,37.96,62.14,89848.42,1250.78
20240917085009,0,1004.45,43.39,45.55,96296.15,1270.3
20240918070009,0,1001.25,27.72,82.3,1901.5,1.04
20240918071009,0,1001.25,27.71,81.28,2458.08,1.6
20240918072009,0,1001.44,27.92,82.94,2213.5,1.29
20240918073009,0,1001.45,28.19,84.61,3009.84,2.17
20240918074009,0,1001.32,28.38,83.28,3566.83,2.98
20240918075009,0,1001.38,27.99,81.63,2275.67,1.43
20240918080009,0,1001.47,27.72,82.74,1886.58,0.92
20240918081009,0,1001.56,27.84,84.91,2079.5,1.05
20240918082009,0,1001.63,28.12,84.74,1881.08,0.87
20240918083009,0,1001.64,28.14,84.32,1352.83,0.45
20240918084009,0,1001.77,27.93,85.09,1243.5,0.34
20240918085009,0,1001.92,28.01,85.97,1182,0.3
20240919070009,0,999.12,27.13,84.61,2157.83,0.85
20240919071009,0,999.27,27.47,83.92,4541.92,6.04
20240919072009,0,999.49,28.14,81.53,5806.83,10.08
20240919073009,0,999.6,28.46,77.47,5377.5,7.95
20240919074009,0,999.62,28.68,76.65,5314.08,7.43
20240919075009,0,999.63,28.92,76.46,5912.25,9.47
20240919080009,0,999.75,29.2,77.26,6343,10.93
20240919081009,0,999.87,29.64,76.81,6422.58,10.96
20240919082009,0,999.96,29.95,74.98,11922.25,13.15
20240919083009,0,1000.13,33.44,64.54,83171.23,961
20240919084009,0,1000.14,41.51,41.76,91314.13,1211.94
20240919085009,0,1000.11,43.71,36.11,97570.49,1244.84
20240920070009,0,1001.64,29.35,83.8,6669.17,11.27
