Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240917070007,0,1003.67,30.37,100,39472.21,282.44
20240917071007,0,1003.68,31.86,100,45658.95,372.28
20240917072007,0,1003.73,32.89,100,52175.14,471.4
20240917073007,0,1003.82,34.13,100,58708.94,581.82
20240917074007,0,1003.89,36.12,100,65764.72,692.23
20240917075007,0,1003.97,37.42,98.21,73115.57,811.91
20240917080007,0,1003.96,38.53,92.03,81189.64,928.83
20240917081007,0,1003.99,39.73,81.39,88642.9,1039.71
20240917082007,0,1003.96,40.33,78.15,94002.44,1153.89
20240917083007,0,1003.94,41.13,73.56,96972.85,1267.14
20240917084007,0,1003.96,42.65,67.68,99460.26,1363.06
20240917085007,0,1003.95,43.78,60.82,101142.31,1452.58
20240918070007,0,1001.01,24.93,100,6297.5,7.62
20240918071007,0,1001.02,25.34,100,7355.92,9.93
20240918072007,0,1001.19,25.6,100,6755.75,8.13
20240918073007,0,1001.21,25.74,100,7411.92,9.76
20240918074007,0,1001.1,26.01,100,8731.33,13
20240918075007,0,1001.15,26.4,100,7111.25,9.25
20240918080007,0,1001.25,26.49,100,6300.08,7.15
20240918081007,0,1001.36,26.49,100,5956.25,6.15
20240918082007,0,1001.4,26.3,100,5305.58,4.62
20240918083007,0,1001.41,26.22,100,3843.17,2.38
20240918084007,0,1001.55,26.06,100,3355.83,1.59
20240918085007,0,1001.71,25.67,100,3186.67,1.43
20240919070007,0,999.17,25.2,100,7461.75,7.2
20240919071007,0,999.34,27.39,100,35485.1,238.59
20240919072007,0,999.53,32.15,98.41,54836.44,494.98
20240919073007,0,999.62,34.21,87.23,50154.73,396.41
20240919074007,0,999.66,34.99,83.87,52622.2,409.54
20240919075007,0,999.64,35.88,79.97,70875.22,696.81
20240919080007,0,999.72,38.24,74.48,84027.62,913.96
20240919081007,0,999.77,40.43,63.53,89936.29,997.97
20240919082007,0,999.88,40.42,61.22,94615.89,1120.06
20240919083007,0,1000.03,41.64,55.43,97460.16,1222.81
20240919084007,0,999.94,42.64,52.16,94952.92,1324.96
20240919085007,0,999.93,44.06,47.22,101594.05,1413.6
20240920070007,0,1001.45,31.75,100,34892.58,201.45
20240920071007,0,1001.52,33.71,99.61,45508.32,349.88
20240920072007,0,1001.62,36.13,90.19,52309,447.73
20240920073007,0,1001.71,37.39,83.54,58670.12,546.87
20240920074007,0,1001.87,39.25,76.55,65912.61,649.43
20240920075007,0,1001.97,39.88,71.61,71287.6,712.62
20240920080007,0,1001.95,41.15,66.79,76591.26,778.79
20240920081007,0,1001.93,41.38,62.51,81099.08,850.36
20240920082007,0,1001.98,42.03,59.81,85519.75,955.45
20240920083007,0,1002.02,43.59,55.39,89618.6,1065.68
20240920084007,0,1002.03,45.08,48.91,92671.49,1189.82
20240920085007,0,1002.07,46.43,44.56,96990.28,1313.1
20240921070007,0,999.13,27.88,100,15127.83,38.46
20240921071007,0,999.3,28.72,100,19449.08,62.86
20240921072007,0,999.51,29.94,100,23810.5,93.74
20240921073007,0,999.63,30.8,100,27770.42,125.14
20240921074007,0,999.82,31.66,100,29518.17,139.94
20240921075007,0,1000.06,32.18,100,30134.16,145.11
20240921080007,0,1000.08,33.24,99.88,39020.56,233.73
20240921081007,0,1000.06,34.02,96.7,41524.18,263.92
20240921082007,0,1000.26,34.83,92.42,35479,201.26
20240921083007,0,1000.49,35.18,89.6,38878.51,241.91
20240921084007,0,1000.78,35.07,88.8,31862.08,167.16
20240921085007,0,1000.84,35.47,87.13,35947.68,214.57
20240922070007,0,1001.81,29.66,100,10434.33,19.38
20240922071007,0,1001.95,29.98,100,11629,23.76
20240922072007,0,1002.04,30.33,100,13902.75,33.38
20240922073007,0,1002.12,31.03,100,17148.25,49.85
20240922074007,0,1002.18,32.17,100,22967.58,88.52
20240922075007,0,1002.27,34.16,98.79,36006.21,206.83
20240922080007,0,1002.35,35.04,95.13,30655.92,153.99
20240922081007,0,1002.46,35.46,92.24,34685,196.39
20240922082007,0,1002.66,36.51,88.43,35191.41,202.35
20240922083007,0,1002.81,38.03,80.68,35558.33,206.97
20240922084007,0,1002.83,38.84,75.4,39946.19,259.63
20240922085007,0,1002.76,39.35,71.22,39828.16,259.56
20240924070007,0,1008.42,30.25,100,39523.14,250.68
20240924071007,0,1008.58,32.16,100,43617.33,303.42
20240924072007,0,1008.66,32.16,100,23764.24,90.92
20240924073007,0,1008.74,30.06,100,16718.42,35.42
20240924074007,0,1008.77,31.34,100,46539.54,306.21
20240924075007,0,1008.79,32.82,100,44351.95,259.89
20240924080007,0,1008.84,34.49,100,59590.3,453.85
20240924081007,0,1008.83,35.04,100,54747.36,377.08
20240924082007,0,1008.85,36.91,98.67,82713.03,902.04
