Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240924070002,0,1007.67,27.72,100,16834.58,138.22
20240924071002,0,1007.81,28.29,100,18458.17,162.32
20240924072002,0,1007.9,28.65,100,13079.75,79.14
20240924073002,0,1007.98,28.14,100,8162.92,21.21
20240924074002,0,1008.01,28.3,100,19546.66,162.02
20240924075002,0,1008,29.02,100,19612.83,136.15
20240924080002,0,1008.06,29.5,100,28107.58,280.99
20240924081002,0,1008.07,29.91,100,26538.5,234.48
20240924082002,0,1008.11,30.72,100,36957.61,499.54
20240924083002,0,1008.07,32.26,100,34254.57,416.4
20240924084002,0,1007.92,33.05,100,35083.16,435.39
20240924085002,0,1007.77,33.52,100,32808.08,474.99
20240925070002,0,1006.25,29.96,100,8493.42,23.19
20240925071002,0,1006.34,29.97,100,9558.92,29.33
20240925072002,0,1006.4,30.43,100,12978.33,56.15
20240925073002,0,1006.56,31.16,100,16104.5,93.2
20240925074002,0,1006.65,31.91,98.56,13291.92,54.26
20240925075002,0,1006.7,32.23,96.14,13825.5,57.99
20240925080002,0,1006.73,33.03,90.73,15512.42,74.11
20240925081002,0,1006.72,33.61,85.41,19578.08,119.18
20240925082002,0,1006.7,34.79,78.02,22354.5,155.8
20240925083002,0,1006.65,35.52,71.47,24427.83,187.09
20240925084002,0,1006.55,36.42,66.32,39936.91,600.44
20240925085002,0,1006.5,38.68,54.95,61988.41,1336.41
20240926070002,0,1005.48,29.91,100,4141.42,6.19
20240926071002,0,1005.7,30.45,100,4817.58,8.08
20240926072002,0,1005.89,30.52,100,5319.5,9.93
20240926073002,0,1005.93,30.76,100,7481.42,18.88
20240926074002,0,1005.87,31.48,100,8487.67,23.74
20240926075002,0,1005.98,31.51,100,5937.33,11.92
20240926080002,0,1006.06,31.48,100,5793.83,11.42
20240926081002,0,1005.97,31.83,99.04,6502.58,14.38
20240926082002,0,1005.97,32.15,96.68,6729.67,15.38
20240926083002,0,1006.09,31.79,96.16,5263.42,9.75
20240926084002,0,1006.06,32.06,95.51,7677.08,20.48
20240926085002,0,1006.01,33.3,89.1,11498.67,43.3
