Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240917070010,0.1,1005.31,36.52,95.04,3513.17,7.14
20240917071010,0.84,1005.34,37.95,78.06,3824.25,9.94
20240917072010,1.74,1005.4,36.83,65.73,4103.33,16.34
20240917073010,1.53,1005.47,38.49,57.66,4390.5,31.54
20240917074010,1.9,1005.6,40.17,49.41,4701.42,58.92
20240917075010,1.85,1005.63,41.67,44.62,5300.67,98.86
20240917080010,1.76,1005.62,41.33,43.31,6383.5,152.17
20240917081010,1.88,1005.61,42.5,40.43,10921,208.81
20240917082010,1.28,1005.62,42.48,40.11,16946.58,277.33
20240917083010,1.29,1005.58,42.49,40.48,18502.92,356.31
20240917084010,1.36,1005.64,45.21,35.27,19883.92,444.4
20240917085010,1.42,1005.58,46.24,32.21,24622.83,541.32
20240918070010,0.79,1002.51,25.76,100,2402.42,1.65
20240918071010,0.22,1002.52,25.99,100,3261.92,2.72
20240918072010,0.1,1002.71,26.1,100,3221,2.73
20240918073010,0.17,1002.66,26.3,100,3682.5,3.29
20240918074010,0,1002.53,26.47,100,4864,4.92
20240918075010,0,1002.64,26.6,100,3703.58,3.02
20240918080010,0.12,1002.74,26.43,100,2674.92,1.72
20240918081010,0.02,1002.83,26.51,100,2822.25,1.77
20240918082010,0.05,1002.84,26.52,100,2645.75,1.45
20240918083010,0,1002.86,26.57,100,1854.58,0.7
20240918084010,0,1003.05,26.41,100,1694.5,0.5
20240918085010,0.04,1003.22,25.97,100,1523.58,0.38
20240919070010,1.64,1000.6,26.27,100,1728.33,0.49
20240919071010,1.61,1000.73,28.3,90.85,3464.75,6.33
20240919072010,1.77,1000.91,32.1,69.08,4267.33,15.96
20240919073010,1.8,1001.05,33.9,58.18,3927.83,21.77
20240919074010,2.11,1001.04,34.76,53.91,4063.08,38.52
20240919075010,2.44,1001.07,36.39,48.98,5303.42,87.93
20240919080010,1.39,1001.18,38.84,44.29,6713,149.54
20240919081010,2.22,1001.2,40.72,38.52,11406.75,203.96
20240919082010,2.2,1001.33,41.46,36.56,16102.92,271.82
20240919083010,2.16,1001.47,42.71,33.75,17937.34,347.54
20240919084010,1.98,1001.44,43.73,31.36,20428.92,432.71
20240919085010,2.24,1001.39,43.82,30.43,27252.5,527.16
20240920070010,2.38,1002.96,31.51,81.06,4676,7.69
20240920071010,1.43,1003.05,33.24,73.17,5450.67,13.57
20240920072010,1.95,1003.16,35.06,62.53,6027.83,21.82
20240920073010,1.65,1003.23,36.15,58.48,6409.58,39.24
20240920074010,1.09,1003.47,38.32,51.95,6516.5,66.34
