Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240924070004,0,1007.95,31.63,100,29751.75,540.83
20240924071004,0,1008.07,33.49,100,32201.83,606.7
20240924072004,0,1008.07,33,100,21379.83,267.36
20240924073004,0,1008.2,30.53,100,13012.83,70.77
20240924074004,0,1008.17,31.89,100,33145.47,587.04
20240924075004,0,1008.23,33.4,100,32910.92,496.66
20240924080004,0,1008.22,34.89,100,46707.97,845.72
20240924081004,0,1008.19,35.39,100,43539.98,758.73
20240924082004,0,1008.2,37.22,100,61551.77,948.26
20240924083004,0,1008.19,40.36,100,54197.02,811.58
20240924084004,0,1008.02,39.91,96.1,59626.06,929.08
20240924085004,0,1007.88,39.14,93.23,57147.61,766.88
20240925070004,0,1006.33,30.4,100,12811.75,75.63
20240925071004,0,1006.44,30.55,100,14523.5,98.62
20240925072004,0,1006.53,31.57,100,19908.42,203.53
20240925073004,0,1006.66,33.16,100,24388.83,326.15
20240925074004,0,1006.78,33.76,100,19893.42,184.86
20240925075004,0,1006.84,33.63,100,20619.75,198.21
20240925080004,0,1006.87,34.3,100,23176.42,252.04
20240925081004,0,1006.85,35.24,100,29429.83,405.93
20240925082004,0,1006.84,36.29,100,33648.75,513.85
20240925083004,0,1006.82,37.21,94.87,37055.08,611.55
20240925084004,0,1006.76,39.54,78,64929.07,910.79
20240925085004,0,1006.8,45.75,47.26,101758.64,980.54
20240926070004,0,1005.66,29.35,100,5589.75,18.99
20240926071004,0,1005.83,29.82,100,6844.67,25.32
20240926072004,0,1006.03,30.11,100,7387.92,31.49
20240926073004,0,1006.05,30.67,100,10779.92,62.18
20240926074004,0,1006.01,31.32,100,12341.33,77.67
20240926075004,0,1006.13,31.44,100,8494.58,37.41
20240926080004,0,1006.19,31.34,100,8392.67,36.45
20240926081004,0,1006.1,31.77,100,8849.17,45.17
20240926082004,0,1006.13,32.06,100,9081.42,47.16
20240926083004,0,1006.23,31.98,100,7274.17,29.9
20240926084004,0,1006.21,32.27,100,10699.5,65.57
20240926085004,0,1006.17,33.5,100,16629.5,143.7
20240927070004,0,1005.3,27.08,100,9962.17,49.35
20240927071004,0,1005.34,27.6,100,11830.5,69.4
20240927072004,0,1005.44,28.32,100,14028.92,98.24
20240927073004,0,1005.46,29.09,100,21086.92,217.31
20240927074004,0,1005.33,30.55,100,31096.75,465.66
20240927075004,0,1005.25,32.97,100,48012.31,830.46
20240927080004,0,1005.29,34.84,100,43499.78,714.79
20240927081004,0,1005.28,34.36,100,41227.06,673.39
20240927082004,0,1005.29,38.52,98.38,76943.45,1021.55
20240927083004,0,1005.19,42.04,79.86,69630.34,886.42
20240927084004,0,1005.15,43.46,69.37,75731.27,906.69
20240927085004,0,1005.15,43.3,54.47,63034.91,834.46
20240928070004,0,1004.57,25.15,100,4165.5,10.31
20240928071004,0,1004.72,25.8,100,11189.58,70.49
20240928072004,0,1004.91,26.46,100,10130.17,52.06
20240928073004,0,1005.06,27.3,100,16004.33,133
20240928074004,0,1005.14,28.79,100,20268.08,240.08
20240928075004,0,1005.29,28.49,100,19152.5,209.46
20240928080004,0,1005.43,29.3,100,21768.75,272.14
20240928081004,0,1005.29,29.21,100,17815.17,193.72
20240928082004,0,1005.2,31.59,100,39370.25,622.83
20240928083004,0,1005.14,33.32,100,35033.91,590.69
20240928084004,0,1005.14,34.36,100,60991.92,791.72
20240928085004,0,1005.04,37.75,96.03,52314.8,680.55
20240929070004,0,1003.86,25.98,100,8821.33,44.67
20240929071004,0,1004.02,26.29,100,10004.08,56.15
20240929072004,0,1004.3,26.74,100,11254.75,75.39
20240929073004,0,1004.52,27.96,100,20365.92,228.91
20240929074004,0,1004.76,28.86,100,22113.5,264.42
20240929075004,0,1004.83,29.43,100,20629.17,246.3
20240929080004,0,1004.87,29.82,100,21396.25,253.24
20240929081004,0,1005.13,30.2,100,18128.42,190.24
20240929082004,0,1005.18,30.87,100,19688.33,233.26
20240929083004,0,1005.04,31.85,100,23505.08,318.93
20240929084004,0,1004.99,32.91,100,25807.5,383.66
20240929085004,0,1004.84,35.69,100,63944.3,795.12
20240930070004,0,1003.77,23.94,100,360.83,0.05
20240930071004,0,1003.99,23.87,100,499.66,0.1
20240930072004,0,1004.05,23.89,100,795.5,0.23
20240930073004,0,1004,23.93,100,1386.58,0.79
20240930074004,0,1004.22,24.05,100,2275,2.34
20240930075004,0,1004.18,24.27,100,4460.5,10.37
20240930080004,0,1003.74,24.69,100,6971.5,28.73
20240930081004,0,1003.44,25.33,100,12087.08,84.17
20240930082004,0,1003.33,25.87,100,12871.83,100.32
20240930083004,0,1003.22,26.23,100,10873.33,77.7
20240930084004,0,1002.79,26.01,100,12375.33,89.48
20240930085004,0,1002.88,25.88,100,9294.5,45.7
20241001070004,0,1002.16,24.48,100,8433.92,18.81
20241001071004,0,1002.34,24.54,100,6911.42,13.39
20241001072004,0,1002.49,24.61,100,6096.75,10.17
20241001073004,0,1002.53,24.79,100,10899.33,32.4
20241001074004,0,1002.51,25.15,100,11313.75,35.72
20241001075004,0,1002.64,25.16,100,7962.42,19.29
20241001080004,0,1002.68,25.02,100,6631.5,13.24
20241001081004,0,1002.89,25.07,100,7811,17.22
20241001082004,0,1002.75,26.25,100,22800.83,152.4
20241001083004,0,1002.4,29.35,100,54386.4,762.16
20241001084004,0,1002.1,32.91,100,81586.93,1259.65
20241001085004,0,1002.05,33.79,100,69125.6,1143.7
20241002070004,0,1003.75,23.8,100,4439.08,7.03
20241002071004,0,1004.02,24.06,100,9372.5,29.01
20241002072004,0,1003.94,24.65,100,11832.42,44.96
20241002073004,0,1004.14,24.86,100,12639.33,51.91
20241002074004,0,1004.32,25.22,100,15779.42,83.54
20241002075004,0,1004.39,25.82,100,20436.17,142.68
20241002080004,0,1004.5,26.44,100,24278.17,207.76
